acn,cid,sfd,aod,drcr,channel,amount,occupation,narration,transaction_date,gst_import
1003291221,36236,Cash,2026-07-04,0,ATM,2555,Self-Employed,ATM Withdrawal,2026-08-30,0
1003291221,36236,Cash,2026-07-04,0,Branch,4983,Self-Employed,Fuel,2026-08-31,1
1003291221,36236,Cash,2026-07-04,0,NEFT,65160,Self-Employed,Hotel Booking,2026-11-15,1
1003291221,36236,Cash,2026-07-04,1,RTGS,36792,Self-Employed,Tax Refund,2026-11-20,1
1003291221,36236,Cash,2026-07-04,0,RTGS,5589,Self-Employed,POS Purchase,2026-12-01,1
1003291221,36236,Cash,2026-07-04,1,Branch,270120,Self-Employed,Cheque Deposit,2026-12-09,0
1005321447,15483,Business,2026-01-26,1,Branch,53874,Salaried,Cheque Deposit,2026-05-08,0
1005321447,15483,Business,2026-01-26,0,UPI,27011,Salaried,Medical,2026-08-12,0
1005321447,15483,Business,2026-01-26,0,Branch,4278,Salaried,Fuel,2026-10-17,0
1005321447,15483,Business,2026-01-26,1,Branch,76166,Salaried,Cheque Deposit,2026-10-20,0
1005321447,15483,Business,2026-01-26,1,NEFT,17532,Salaried,Tax Refund,2026-11-11,1
1005321447,15483,Business,2026-01-26,0,IMPS,115483,Salaried,Hotel Booking,2026-11-19,0
1005321447,15483,Business,2026-01-26,1,Internet Banking,471628,Salaried,Premature,2026-11-22,0
1005321447,15483,Business,2026-01-26,0,Internet Banking,30586,Salaried,Loan EMI,2026-11-24,1
1005321447,15483,Business,2026-01-26,0,Internet Banking,4777,Salaried,Water Bill,2026-12-05,1
1025654954,68423,Loan,2025-10-05,0,Internet Banking,17354,Business,Medical,2026-04-03,0
1025654954,68423,Loan,2025-10-05,1,Internet Banking,27632,Business,Dividend,2026-04-08,0
1025654954,68423,Loan,2025-10-05,1,Internet Banking,36870,Business,Salary Credit,2026-05-10,0
1025654954,68423,Loan,2025-10-05,1,ATM,132556,Business,Business Credit,2026-07-04,0
1025654954,68423,Loan,2025-10-05,0,Internet Banking,6466,Business,Electricity Bill,2026-07-06,0
1025654954,68423,Loan,2025-10-05,1,Internet Banking,4301,Business,GST Refund,2026-07-27,1
1025654954,68423,Loan,2025-10-05,0,UPI,3684,Business,UPI Payment,2026-09-21,0
1025654954,68423,Loan,2025-10-05,0,Branch,2817,Business,Mobile Recharge,2026-09-30,0
1025654954,68423,Loan,2025-10-05,0,Internet Banking,6650,Business,Loan EMI,2026-10-08,1
1025654954,68423,Loan,2025-10-05,1,NEFT,25953,Business,Dividend,2026-10-27,1
1025654954,68423,Loan,2025-10-05,0,UPI,3916,Business,Restaurant,2026-11-01,0
1025654954,68423,Loan,2025-10-05,0,NEFT,36860,Business,Online Shopping,2026-11-09,1
1025654954,68423,Loan,2025-10-05,0,Internet Banking,4055,Business,Water Bill,2026-12-21,0
1025654954,68423,Loan,2025-10-05,1,Branch,150216,Business,Business Credit,2026-12-29,0
1038238589,43996,Salary,2026-06-08,1,Internet Banking,2160,Retired,Interest Credit,2026-06-16,0
1038238589,43996,Salary,2026-06-08,1,Branch,159214,Retired,Cheque Deposit,2026-07-04,1
1038238589,43996,Salary,2026-06-08,0,Internet Banking,9134,Retired,Electricity Bill,2026-07-05,0
1038238589,43996,Salary,2026-06-08,0,Internet Banking,65520,Retired,Mutual Fund SIP,2026-07-05,1
1038238589,43996,Salary,2026-06-08,0,RTGS,11191,Retired,Hotel Booking,2026-07-10,0
1038238589,43996,Salary,2026-06-08,1,Internet Banking,118569,Retired,Premature,2026-07-11,0
1038238589,43996,Salary,2026-06-08,0,RTGS,75818,Retired,Travel Booking,2026-07-13,1
1038238589,43996,Salary,2026-06-08,1,Branch,103922,Retired,Cash Deposit,2026-07-15,1
1038238589,43996,Salary,2026-06-08,1,Branch,77176,Retired,Cheque Deposit,2026-07-29,0
1038238589,43996,Salary,2026-06-08,0,Internet Banking,9047,Retired,POS Purchase,2026-08-28,0
1038238589,43996,Salary,2026-06-08,0,UPI,5023,Retired,POS Purchase,2026-08-28,0
1038238589,43996,Salary,2026-06-08,0,Internet Banking,20143,Retired,Mutual Fund SIP,2026-09-02,1
1038238589,43996,Salary,2026-06-08,0,IMPS,54636,Retired,Rent Payment,2026-09-16,1
1038238589,43996,Salary,2026-06-08,0,UPI,522,Retired,UPI Payment,2026-09-19,0
1038238589,43996,Salary,2026-06-08,1,Branch,91822,Retired,Cheque Deposit,2026-10-29,0
1038238589,43996,Salary,2026-06-08,0,NEFT,7051,Retired,Shopping Mall,2026-11-18,0
1038238589,43996,Salary,2026-06-08,0,Branch,10685,Retired,Medical,2026-12-06,1
1038238589,43996,Salary,2026-06-08,1,ATM,394324,Retired,Business Credit,2026-12-06,1
1039906648,86421,Cash,2025-12-08,1,RTGS,63391,Business,Salary Credit,2026-05-30,1
1039906648,86421,Cash,2025-12-08,1,Branch,46973,Business,Cash Deposit,2026-06-02,1
1039906648,86421,Cash,2025-12-08,0,RTGS,3541,Business,Restaurant,2026-06-10,0
1039906648,86421,Cash,2025-12-08,0,Internet Banking,18661,Business,Loan EMI,2026-10-14,1
1039906648,86421,Cash,2025-12-08,1,Branch,279511,Business,Cheque Deposit,2026-12-19,1
1056499180,58154,Loan,2025-11-16,1,Internet Banking,29294,Retired,GST Refund,2026-04-04,1
1056499180,58154,Loan,2025-11-16,0,Branch,48555,Retired,Online Shopping,2026-04-17,0
1056499180,58154,Loan,2025-11-16,1,Branch,147685,Retired,Cash Deposit,2026-05-12,1
1056499180,58154,Loan,2025-11-16,0,ATM,36835,Retired,Online Shopping,2026-05-13,1
1056499180,58154,Loan,2025-11-16,0,Internet Banking,4941,Retired,Broadband Bill,2026-05-29,0
1056499180,58154,Loan,2025-11-16,0,IMPS,11862,Retired,Medical,2026-06-08,0
1056499180,58154,Loan,2025-11-16,1,Branch,71240,Retired,Cheque Deposit,2026-06-25,1
1056499180,58154,Loan,2025-11-16,1,RTGS,26264,Retired,Dividend,2026-07-03,1
1056499180,58154,Loan,2025-11-16,0,Internet Banking,2831,Retired,Broadband Bill,2026-07-18,1
1056499180,58154,Loan,2025-11-16,0,Internet Banking,6980,Retired,Electricity Bill,2026-08-04,0
1056499180,58154,Loan,2025-11-16,0,RTGS,55958,Retired,Travel Booking,2026-08-28,1
1056499180,58154,Loan,2025-11-16,1,Branch,233379,Retired,Cash Deposit,2026-09-07,0
1056499180,58154,Loan,2025-11-16,0,Internet Banking,46436,Retired,Loan EMI,2026-09-29,1
1056499180,58154,Loan,2025-11-16,1,Branch,279067,Retired,Cheque Deposit,2026-10-24,0
1056499180,58154,Loan,2025-11-16,0,IMPS,15400,Retired,Shopping Mall,2026-12-12,0
1064805619,74157,Business,2026-01-16,1,Branch,144901,Self-Employed,Cheque Deposit,2026-04-20,1
1064805619,74157,Business,2026-01-16,0,Internet Banking,56686,Self-Employed,Loan EMI,2026-04-25,0
1064805619,74157,Business,2026-01-16,0,Internet Banking,2444,Self-Employed,Water Bill,2026-05-01,1
1064805619,74157,Business,2026-01-16,0,Branch,26899,Self-Employed,Travel Booking,2026-06-14,0
1064805619,74157,Business,2026-01-16,1,RTGS,67848,Self-Employed,Salary Credit,2026-06-27,0
1064805619,74157,Business,2026-01-16,0,Internet Banking,11568,Self-Employed,Loan EMI,2026-07-12,1
1064805619,74157,Business,2026-01-16,0,Internet Banking,531,Self-Employed,Restaurant,2026-08-11,1
1064805619,74157,Business,2026-01-16,0,NEFT,10500,Self-Employed,POS Purchase,2026-08-17,1
1064805619,74157,Business,2026-01-16,0,Internet Banking,31920,Self-Employed,Online Shopping,2026-09-29,0
1064805619,74157,Business,2026-01-16,0,Internet Banking,11980,Self-Employed,POS Purchase,2026-10-01,0
1064805619,74157,Business,2026-01-16,0,Internet Banking,2969,Self-Employed,Broadband Bill,2026-11-03,0
1064805619,74157,Business,2026-01-16,1,Internet Banking,108569,Self-Employed,Salary Credit,2026-12-13,0
1064805619,74157,Business,2026-01-16,1,Branch,102172,Self-Employed,Cash Deposit,2026-12-18,1
1093374001,44555,Cash,2026-04-27,1,NEFT,26585,Student,Dividend,2026-07-07,0
1093374001,44555,Cash,2026-04-27,0,Internet Banking,3660,Student,Fuel,2026-07-22,1
1093374001,44555,Cash,2026-04-27,0,ATM,5167,Student,ATM Withdrawal,2026-08-27,0
1093374001,44555,Cash,2026-04-27,1,Internet Banking,63387,Student,Tax Refund,2026-08-28,1
1093374001,44555,Cash,2026-04-27,0,UPI,2260,Student,UPI Payment,2026-08-29,0
1093374001,44555,Cash,2026-04-27,1,IMPS,472424,Student,Business Credit,2026-09-06,0
1093374001,44555,Cash,2026-04-27,0,Internet Banking,502,Student,Broadband Bill,2026-10-15,0
1093374001,44555,Cash,2026-04-27,1,NEFT,4815,Student,GST Refund,2026-11-10,1
1109447947,15310,Cash,2025-12-20,0,IMPS,102061,Business,Hotel Booking,2026-06-01,1
1109447947,15310,Cash,2025-12-20,0,Internet Banking,4945,Business,Water Bill,2026-06-21,1
1109447947,15310,Cash,2025-12-20,0,NEFT,20877,Business,Travel Booking,2026-06-23,1
1109447947,15310,Cash,2025-12-20,0,Internet Banking,94929,Business,Mutual Fund SIP,2026-07-01,0
1109447947,15310,Cash,2025-12-20,1,NEFT,21403,Business,Tax Refund,2026-07-04,0
1109447947,15310,Cash,2025-12-20,1,Branch,151382,Business,Cheque Deposit,2026-07-22,1
1109447947,15310,Cash,2025-12-20,1,Internet Banking,20897,Business,GST Refund,2026-07-26,1
1109447947,15310,Cash,2025-12-20,0,NEFT,49236,Business,Rent Payment,2026-07-31,0
1109447947,15310,Cash,2025-12-20,1,RTGS,944,Business,Dividend,2026-08-15,1
1109447947,15310,Cash,2025-12-20,1,Branch,431826,Business,Business Credit,2026-09-09,0
1109447947,15310,Cash,2025-12-20,0,Internet Banking,950,Business,Mobile Recharge,2026-09-24,0
1109447947,15310,Cash,2025-12-20,0,IMPS,6441,Business,POS Purchase,2026-10-16,1
1109447947,15310,Cash,2025-12-20,1,NEFT,6936,Business,Dividend,2026-10-23,0
1114479663,89244,Loan,2025-12-31,0,UPI,15544,Student,Medical,2026-06-03,1
1114479663,89244,Loan,2025-12-31,1,Branch,123229,Student,Cheque Deposit,2026-06-24,0
1114479663,89244,Loan,2025-12-31,0,Branch,3237,Student,Fuel,2026-06-29,1
1114479663,89244,Loan,2025-12-31,0,Internet Banking,317,Student,Mobile Recharge,2026-07-15,0
1114479663,89244,Loan,2025-12-31,1,NEFT,75517,Student,Tax Refund,2026-07-26,1
1114479663,89244,Loan,2025-12-31,0,Internet Banking,29243,Student,Mutual Fund SIP,2026-08-04,1
1114479663,89244,Loan,2025-12-31,1,RTGS,16811,Student,Dividend,2026-08-12,1
1114479663,89244,Loan,2025-12-31,0,NEFT,32813,Student,Rent Payment,2026-08-14,0
1114479663,89244,Loan,2025-12-31,0,Internet Banking,4446,Student,Broadband Bill,2026-08-25,1
1114479663,89244,Loan,2025-12-31,0,RTGS,10161,Student,POS Purchase,2026-09-19,1
1114479663,89244,Loan,2025-12-31,1,Internet Banking,88399,Student,Salary Credit,2026-09-26,0
1114479663,89244,Loan,2025-12-31,1,NEFT,83734,Student,Tax Refund,2026-09-30,0
1114479663,89244,Loan,2025-12-31,0,Internet Banking,3297,Student,Insurance Premium,2026-10-11,0
1114479663,89244,Loan,2025-12-31,0,ATM,2464,Student,ATM Withdrawal,2026-10-17,0
1114479663,89244,Loan,2025-12-31,0,Internet Banking,103907,Student,Hotel Booking,2026-10-19,1
1114479663,89244,Loan,2025-12-31,1,RTGS,10580,Student,GST Refund,2026-10-26,1
1114479663,89244,Loan,2025-12-31,1,Branch,18343,Student,Cheque Deposit,2026-11-12,0
1114479663,89244,Loan,2025-12-31,1,NEFT,155401,Student,Premature,2026-11-20,1
1114479663,89244,Loan,2025-12-31,1,NEFT,2229,Student,Interest Credit,2026-12-23,1
1126177465,36993,Cash,2026-02-21,1,Branch,291937,Business,Cheque Deposit,2026-05-25,0
1126177465,36993,Cash,2026-02-21,0,Branch,4705,Business,Restaurant,2026-06-06,0
1126177465,36993,Cash,2026-02-21,0,Internet Banking,46174,Business,Hotel Booking,2026-07-19,1
1126177465,36993,Cash,2026-02-21,0,ATM,8171,Business,ATM Withdrawal,2026-08-01,1
1126177465,36993,Cash,2026-02-21,1,Internet Banking,7000,Business,Dividend,2026-08-15,1
1126177465,36993,Cash,2026-02-21,0,Internet Banking,73590,Business,Mutual Fund SIP,2026-08-18,0
1126177465,36993,Cash,2026-02-21,0,Branch,6721,Business,Medical,2026-08-29,0
1126177465,36993,Cash,2026-02-21,0,UPI,4647,Business,UPI Payment,2026-09-08,0
1126177465,36993,Cash,2026-02-21,0,RTGS,6374,Business,Online Shopping,2026-09-23,1
1126177465,36993,Cash,2026-02-21,1,Internet Banking,8516,Business,Dividend,2026-12-07,1
1126177465,36993,Cash,2026-02-21,1,Branch,143879,Business,Cheque Deposit,2026-12-20,1
1127155518,79172,Loan,2026-06-04,1,Internet Banking,98823,Student,Salary Credit,2026-06-27,0
1127155518,79172,Loan,2026-06-04,0,Internet Banking,6809,Student,Electricity Bill,2026-09-03,0
1127155518,79172,Loan,2026-06-04,0,ATM,22157,Student,Medical,2026-11-25,1
1127155518,79172,Loan,2026-06-04,1,NEFT,3974,Student,Interest Credit,2026-12-15,1
1127155518,79172,Loan,2026-06-04,0,Internet Banking,24404,Student,Loan EMI,2026-12-19,1
1132965352,30355,Cash,2025-08-18,0,Branch,67233,Self-Employed,Hotel Booking,2026-04-08,0
1132965352,30355,Cash,2025-08-18,0,Internet Banking,35175,Self-Employed,Loan EMI,2026-04-22,0
1132965352,30355,Cash,2025-08-18,0,UPI,2341,Self-Employed,POS Purchase,2026-05-05,1
1132965352,30355,Cash,2025-08-18,0,ATM,2803,Self-Employed,Mobile Recharge,2026-06-18,0
1132965352,30355,Cash,2025-08-18,0,IMPS,12065,Self-Employed,Medical,2026-06-27,0
1132965352,30355,Cash,2025-08-18,0,ATM,16405,Self-Employed,ATM Withdrawal,2026-07-05,0
1132965352,30355,Cash,2025-08-18,1,Branch,139392,Self-Employed,Cash Deposit,2026-07-08,0
1132965352,30355,Cash,2025-08-18,0,NEFT,11075,Self-Employed,POS Purchase,2026-08-09,1
1132965352,30355,Cash,2025-08-18,0,UPI,41908,Self-Employed,Online Shopping,2026-08-18,1
1132965352,30355,Cash,2025-08-18,1,IMPS,469401,Self-Employed,Business Credit,2026-09-16,1
1132965352,30355,Cash,2025-08-18,0,IMPS,1825,Self-Employed,Shopping Mall,2026-10-07,1
1132965352,30355,Cash,2025-08-18,0,IMPS,4517,Self-Employed,Fuel,2026-10-20,0
1132965352,30355,Cash,2025-08-18,0,ATM,12280,Self-Employed,ATM Withdrawal,2026-10-26,0
1132965352,30355,Cash,2025-08-18,0,Internet Banking,22891,Self-Employed,Loan EMI,2026-12-19,0
1132965352,30355,Cash,2025-08-18,0,IMPS,43350,Self-Employed,Hotel Booking,2026-12-29,1
1136493134,66177,Cash,2026-06-25,0,Internet Banking,3159,Retired,Water Bill,2026-08-04,0
1136493134,66177,Cash,2026-06-25,1,Branch,283125,Retired,Cheque Deposit,2026-09-12,1
1136493134,66177,Cash,2026-06-25,1,RTGS,7862,Retired,Dividend,2026-11-09,1
1136493134,66177,Cash,2026-06-25,1,Internet Banking,7466,Retired,Dividend,2026-11-15,0
1136493134,66177,Cash,2026-06-25,1,NEFT,266206,Retired,Premature,2026-11-28,0
